uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
colt:vochtgehaltetypes,skos:Collection,vochtgehaltetypes,,,Collectie van vochtgehaltetypes.,,,,,,,,,,,,,cs,vochtgehaltetype,,,,,,
ct:1,skos:Concept,1,colt:vochtgehaltetypes,,droog,,,,,,,,,,,,,cs:vochtgehaltetype,,,,,,,cs:vochtgehaltetype
ct:5,skos:Concept,5,colt:vochtgehaltetypes,,verzadigd,,,,,,,,,,,,,cs:vochtgehaltetype,,,,,,,cs:vochtgehaltetype
ct:3,skos:Concept,3,colt:vochtgehaltetypes,,vochtig,,,,,,,,,,,,,cs:vochtgehaltetype,,,,,,,cs:vochtgehaltetype
ct:2,skos:Concept,2,colt:vochtgehaltetypes,,weinig vochtig,,,,,,,,,,,,,cs:vochtgehaltetype,,,,,,,cs:vochtgehaltetype
ct:4,skos:Concept,4,colt:vochtgehaltetypes,,zeer vochtig,,,,,,,,,,,,,cs:vochtgehaltetype,,,,,,,cs:vochtgehaltetype
